date,ind10,bse,int_bond,int_stock
2008-08-06,9.132,15503.92,61.941948,2378.370117
2008-08-07,9.038,15212.13,62.950481,2355.72998
2008-08-08,9.07,15093.12,63.122017,2414.100098
2008-08-11,9.157,14724.18,62.5182,2439.949951
2008-08-12,9.082,14645.66,63.101421,2430.610107
2008-08-13,9.393,14543.73,62.881886,2428.620117
2008-08-14,9.321,14678.23,63.286629,2453.669922
2008-08-15,9.316,14243.73,63.835537,2452.52002
2008-08-18,9.274,14401.49,64.089432,2416.97998
2008-08-19,9.2,14450.35,63.842457,2384.360107
2008-08-20,8.988,14482.22,64.020798,2389.080078
2008-08-21,9.025,14296.79,63.904175,2380.379883
2008-08-22,9.097,14048.34,63.863033,2414.709961
2008-08-25,9.029,14564.53,64.501114,2365.590088
2008-08-26,8.908,14498.51,64.555984,2361.969971
2008-08-27,8.965,15049.86,64.665779,2382.459961
2008-08-28,9.078,14899.1,64.672592,2411.639893
2008-08-29,9.161,14483.83,64.384399,2367.52002
2008-09-02,9.094,14944.97,64.983551,2349.23999
2008-09-03,9.132,14900.76,65.258926,2333.72998
2008-09-04,9.206,14662.61,65.782318,2259.040039
2008-09-05,9.085,14324.29,65.747879,2255.879883
2008-09-08,8.991,14000.81,66.023338,2269.76001
2008-09-09,8.891,13531.27,66.677498,2209.810059
2008-09-10,8.885,13518.8,66.264366,2228.699951
2008-09-11,8.799,13262.9,66.229874,2258.219971
2008-09-12,8.7,13315.6,65.376045,2261.27002
2008-09-15,8.637,14042.32,67.496941,2179.909912
2008-09-16,8.609,13994.96,67.483185,2207.899902
2008-09-17,8.476,13570.31,67.820557,2098.850098
2008-09-18,8.484,13692.52,66.828972,2199.100098
2008-09-19,8.494,13547.18,64.708046,2273.899902
2008-09-22,8.41,13102.18,64.701218,2178.97998
2008-09-23,8.357,12595.75,64.453339,2153.330078
2008-09-24,8.288,12860.43,64.735641,2155.679932
2008-09-25,8.348,13055.67,64.604858,2186.570068
2008-09-26,8.15,12526.32,65.07309,2183.340088
2008-09-29,8.097,11801.7,66.966721,1983.72998
2008-09-30,8.185,11695.24,65.334724,2091.879883
2008-10-01,8.384,11328.36,66.15667,2069.399902
2008-10-02,8.415,10527.85,66.688515,1976.719971
2008-10-03,8.464,11309.09,67.27562,1947.390015
2008-10-06,8.426,11483.4,68.498207,1862.959961
2008-10-07,8.632,10809.12,68.290947,1754.880005
2008-10-08,8.572,10581.49,67.310135,1740.329956
2008-10-09,8.58,9975.35,66.743759,1645.119995
2008-10-10,8.617,10223.09,66.274071,1649.51001
2008-10-13,8.46,10683.39,65.424576,1844.25
2008-10-14,8.291,10169.9,65.003189,1779.01001
2008-10-15,8.102,9771.7,65.624855,1628.329956
2008-10-16,8.094,8701.07,65.286339,1717.709961
2008-10-17,7.977,8509.56,64.837379,1711.290039
2008-10-20,7.814,9008.08,65.355446,1770.030029
2008-10-21,7.785,9044.51,65.700798,1696.680054
2008-10-22,7.974,9788.06,67.033867,1615.75
2008-10-23,7.929,10337.68,67.531219,1603.910034
